timestamp,account,code,line,receiver,ri,raw_message,bracket_content
2025-10-01T10:37:31.232129,005544,999,L0,R0,1,"CD59005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:37:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:32.188627,005544,999,L0,R0,1,"CD59005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:37:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:33.147831,005544,999,L0,R0,1,"CD59005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:37:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:34.108260,005544,999,L0,R0,1,"CD59005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:37:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:38.671522,005544,999,L0,R0,1,"0BE3005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:38:01,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:39.628697,005544,999,L0,R0,1,"0BE3005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:38:01,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:40.587768,005544,999,L0,R0,1,"0BE3005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:38:01,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:41.548312,005544,999,L0,R0,1,"0BE3005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:38:01,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:25.370341,005544,999,L0,R0,1,"B22D005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:47,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:26.325346,005544,999,L0,R0,1,"B22D005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:47,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:27.285849,005544,999,L0,R0,1,"B22D005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:47,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:28.246979,005544,999,L0,R0,1,"B22D005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:47,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
